slug,short_text,long_text
bhutan,"This idyllic mountain nation deserves praise for the preservation of much of its native habitats and biodiversity. Its faunas and floras remain an intact slice of those that originally characterized the bulk of the Himalayan mountains and foothills. In Bhutan, 70 percent of the land is covered by forest representing the three principal zones, tropical, temperate, and alpine. The five thousand known species of plants include forty-six rhododendrons and six hundred orchids.
","This idyllic mountain nation deserves praise for the preservation of much of its native habitats and biodiversity. Its faunas and floras remain an intact slice of those that originally characterized the bulk of the Himalayan mountains and foothills. In Bhutan, 70 percent of the land is covered by forest representing the three principal zones—tropical, temperate, and alpine. The five thousand known species of plants include forty-six rhododendrons and six hundred orchids."
CubaHispaniola,The two largest islands of the Greater Antilles contain an exuberant fauna and flora that form the bulk of the biodiversity of all the West Indies.,"The two largest islands of the Greater Antilles contain an exuberant fauna and flora that form the bulk of the biodiversity of all the West Indies. Their ultimate affinity is to Central America, from which the Antillean landmass broke away by continental drift tens of millions of years ago. Their long isolation has resulted in the origin of large numbers of species that today are found nowhere else. Some, like the strange insectivore mammal Solenodon, are relicts from the islands’ earliest history. Others are the products of adaptive radiation, wherein one or a very few colonizing species have found less competition and more open niches than on the mainland. This circumstance has allowed some to proliferate into swarms of species that today individually fill the niches. Among the conspicuous examples are the diverse, abundant forms of anole lizards, and strange ants that glitter in metallic hues variously of blue and green. One day, while exploring in the Escambray Mountains of central Cuba, I found both a metallescent green ant species that nests in rock crevices and another species whose bodies flash gold foraging on low bushes. Moreover, both Cuba and the nearby Dominican Republic are surrounded by relatively undisturbed shorelines, with intact coral reefs"
Hawaii,"Its tropical climate, relatively large size, and mountainous terrain with multitudinous habitats promoted the genesis of a large diversity of land-dwelling plants and animals.","The Hawaiian archipelago, like the equally far-flung Easter, Pitcairn, and Marquesas archipelagoes, deserves mention in part for what it once was. Its tropical climate, relatively large size, and mountainous terrain with multitudinous habitats promoted the genesis of a large diversity of land-dwelling plants and animals. A high percentage of these originated as products of adaptive radiations. Dramatic examples of such species swarms include the honeycreepers among the smaller birds, tree crickets among the insects, and lobelias among the flowering plants. The beautiful assemblage has been largely wiped out or pushed into the remote uplands of the central mountains by agricultural conversion and semiwild gardens of invasive species. Perversely, the latter have become a poster child for the “novel ecosystems” celebrated by Anthropocene supporters."
Myanmar,"The northern reaches of this still-seldom-visited country harbor four reserves, about thirty-one thousand square kilometers in combined area, and a rich fauna that includes elephants, bears, red pandas, tigers, and gibbons. This region includes tropical forests, coniferous woodland, and even patches of arctic grasslands above tree line.
Preliminary analyses of the mapped information indicate this is a region of exceptional species richness and rarity for conifers and turtles.","The northern reaches of this still-seldom-visited country harbor four reserves, about thirty-one thousand square kilometers in combined area, and a rich fauna that includes elephants, bears, red pandas, tigers, and gibbons. The region includes tropical forests, coniferous woodland, and even patches of arctic grasslands above tree line."
ForestEthiopia,"Less than 5 percent of the native forests of northern Ethiopia remain, and they are virtually all limited to properties of the Chruch-conspicuous from the air as green patches sprinkled across the brown landscape of subsistence agriculture.","Less than 5 percent of the native forests of northern Ethiopia remain, and “they are virtually all limited to properties of the Church—conspicuous from the air as green patches sprinkled across the brown landscape of subsistence agriculture. They contain, as Margaret Lowman has written, “the seed bank of native plants, pollinators for many garden crops, freshwater springs, medicines from plants, paints from fruits and seeds for the church murals, water conservation from roots, spiritual sanctuary as the church centerpiece, carbon storage, and home to the last remaining genetic library of native species."
Socotra,"An isolated island (with small satellites) located in the Indian Ocean 352 kilometers south of Yemen, Socotra is populated by trees and shrubs so strange in shape and foliage as to earn it the title ""another Galápagos"" and ""most alien-looking place on Earth."" Here you will find the dragon's blood tree, the wall-dwelling Socotran fig, toothed aloes, and other plant species hard to compare even in general form with vegetation elsewhere.","An isolated island (with small satellites) located in the Indian Ocean 352 kilometers south of Yemen, Socotra is populated by trees and shrubs so strange in shape and foliage as to earn it the titles “another Galápagos” and “most alien-looking place on Earth.” Here you will find the dragon’s blood tree, the wall-dwelling Socotran fig, toothed aloes, and other plant species hard to compare even in general form with vegetation elsewhere. Socotra also has about two hundred bird species, of which eight are unique to the archipelago."
GhatsIndia,"The Western Ghats, a mountain range running parallel to the full length of the west coast, are the geological spine of India. Their range of elevation, from near sea level to 2695 meters at the highest point, and their tropical location combine to create a great variety of terrestrial habitats, and with them a high level of biodiversity. Native to the mostly rolling, forested hills are five thousand species of plants, of which seventeen hundred are endemic, and a major mammal fauna that includes the world's largest population of wild Asian elephants and a tenth of Earth's survivng tigers.","The subcontinent of India, like the great islands of Madagascar, New Caledonia, and New Zealand, is a fragment of Gondwana, differing primarily only in having drifted north all the way to meet and fuse with the mainland of Asia. The Western Ghats, a mountain range running parallel to the full length of the west coast, are the geological spine of India. Their range of elevation, from near sea level to 2,695 meters at the highest point, and their tropical location combine to create a great variety of terrestrial habitats, and with them a high level of biodiversity. Native to the mostly rolling, forested hills are five thousand species of plants, of which seventeen hundred are endemic, and a major mammal fauna that includes the world’s largest population of wild Asian elephants and a tenth of Earth’s surviving tigers."
paramos,"These high-elevation (2,800 to 4,700 meters) grasslands in South America contain many unique grasses, herbs, and woody bushes. They also stand out in their high rate of evolution of new species-possibly due to fluctuations of climate in the fragmented mountaintop environment.","These high-elevation (2,800 to 4,700 meters) grasslands of South America contain many unique grasses, herbs, and woody bushes. They also stand out in their high rate of evolution of new species—possibly due to fluctuations of climate in the fragmented mountaintop environment. Even though each is only kilometers above the lowland rain forests that surround them, they are physically and biologically a different world. Their floras are unique, and their small areas make their biodiversity vulnerable."
atewa,"Many of the moist forests of Africa's western hump have been reduced drastically by human encroachment, but fragments still survive as islands that preserve parts of the once exceptionally rich flora and forest. A splendid example is the pristine Atewa Forest, at least ten and a half million years old, a remnant of the rain forest that has elsewhere been 80 percent removed.","Many of the moist forests of Africa’s western hump have been reduced drastically by human encroachment, but fragments still survive as islands that preserve parts of the once exceptionally rich flora and forest. A splendid example is the pristine Atewa Forest, at least ten and a half million years old, a remnant of the rain forest that has elsewhere been 80 percent removed. Atewa is the finest example of a variant of the biome called the Upland Evergreen Forest."
tepuis,"These tableop mountains are the imagined ""lost worlds"" of H.G. Wells and Hollywood. Limited to Venezuela and western Guyana, they are composed of blocks of ancient quartz arenite sandstone thrust skyward from the surrounding rain forest. Their more or less flat tops in elevation from one thousand to three thousand meters. They are indeed worlds unto themselves, with weather radically different from that at lower elevations, spectacular rock formations, and waterfalls (Angel Falls is the highest in the world), and floras and faunas different from the lowlands below and from one tepui to the next.","These tabletop mountains are the imagined “lost worlds” of H. G. Wells and Hollywood. Limited to Venezuela and western Guyana, they are composed of blocks of ancient quartz arenite sandstone thrust skyward from the surrounding rain forest. Their more or less flat tops range in elevation from one thousand to three thousand meters. They are indeed worlds unto themselves, with weather radically different from that at lower elevations, spectacular rock formations and waterfalls (Angel Falls is the highest in the world), and floras and faunas different from the lowlands below and from one tepui to the next."
