slug,title,description
1,"Area near India, Asia","The region is made up of different habitats, including Mizoram-Manipur-Kachin rain forests, and Eastern Himalayan broadleaf forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of warm and temperate climate with dry winters and warm summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Temperate Broadleaf and Mixed Forests. The location is predominantly land area. Area of 29.62Mha located in a mix of lowland and mountainous areas."
2,"Area near Vietnam, Asia",The regions habitat is comprised of Northern Indochina subtropical forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 3.08Mha located in a mountainous area.
3,"Area near Jalisco, Mexico","The region is made up of different habitats, including Trans-Mexican Volcanic Belt pine-oak forests, and Balsas dry forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 7.27Mha located in a mix of lowland and mountainous areas."
4,"Area near Mountain Province, Philippines","The majority of the regions habitat is comprised of Luzon rain forests. It also includes areas of Luzon tropical pine forests. This region has no Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 590.08kha located in a mix of lowland and mountainous areas."
5,"Area in HAwaii, in North america","The region is made up of different habitats, including Hawai'i tropical dry forests, and Hawai'i tropical moist forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with high humidity and warm summers. The region is made up of several types of biomes, including Tropical and Subtropical Dry Broadleaf Forests, and Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with a large proportion of land area. Area of 2.33Mha located in a predominanty lowland area."
6,"Area between Oaxaca and Michoacán, Mexico","The region is made up of different habitats, including Balsas dry forests, and Sierra Madre del Sur pine-oak forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 8.46Mha located in a mountainous area."
7,Area in Jamaica,"The regions habitat is comprised of Jamaican moist forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly marine area with a large proportion of land area. Area of 2.33Mha located in a predominanty lowland area."
8,"Area near San Juan, D.R.",The majority of the regions habitat is comprised of Hispaniolan pine forests. It also includes areas of Hispaniolan moist forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with high humidity and warm summers. It also has areas of equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Coniferous Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 589.59kha located in a mix of lowland and mountainous areas.
9,"Area between Mexico and Nicaragua, in North America","The region is made up of different habitats, including Central American pine-oak forests, and Central American Atlantic moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is mostly land area with some marine area. Area of 34.23Mha located in a predominanty lowland area."
10,"Area near Bukidnon, Philippines","The majority of the regions habitat is comprised of Mindanao-Eastern Visayas rain forests. It also includes areas of Mindanao montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area."
11,"Area in Monagas State, Venezuela","The region is made up of different habitats, including Llanos, and Orinoco wetlands. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Grasslands, Savannas and Shrublands, and Flooded Grasslands and Savannas. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area."
12,"Area near Peru, South America","The region is made up of different habitats, including Peruvian Yungas, and Southwest Amazon moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 187.24Mha located in a mix of lowland and mountainous areas."
13,"Area between Guyana and Venezuela, in South America","The region is made up of different habitats, including Guianan Highlands moist forests, and Pantepui forests and shrublands. This region contains Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 3.97Mha located in a mix of lowland and mountainous areas."
